sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
4.1,6.5,0.5,-2.6,setosa
10.3,1.3,13.6,0.2,versicolor
10.8,8.1,3.0,0.0,versicolor
-1.6,1.4,3.2,0.4,versicolor
3.8,7.0,8.4,3.5,versicolor
-13.4,3.5,6.4,-1.5,virginica
2.8,4.5,2.4,7.2,virginica
10.1,-3.4,1.6,-1.9,setosa
7.8,4.2,8.5,-0.6,virginica
13.3,2.7,2.5,-1.0,virginica
5.2,1.9,4.1,0.7,versicolor
5.8,-2.0,2.0,-1.0,setosa
2.6,2.1,9.0,1.4,versicolor
2.8,3.8,5.1,3.3,virginica
6.9,1.4,8.4,1.0,versicolor
4.0,7.2,2.9,0.2,setosa
1.3,3.4,1.2,-0.8,versicolor
3.5,-0.6,2.3,1.4,setosa
3.8,2.9,2.4,3.4,versicolor
15.1,2.7,-0.2,1.0,virginica
11.6,-3.6,-0.9,-0.5,setosa
13.4,9.9,11.7,5.4,virginica
3.3,-3.3,-0.3,-0.1,setosa
2.5,5.3,11.5,3.9,virginica
9.0,2.7,0.5,1.0,setosa
8.5,4.2,1.3,1.2,setosa
7.3,-0.5,8.8,-1.2,versicolor
12.6,2.9,10.9,2.5,virginica
-0.9,-1.8,8.7,6.7,virginica
8.1,-1.7,17.1,-0.3,virginica
3.5,6.2,0.0,0.1,setosa
7.6,2.0,9.7,-3.1,virginica
5.5,-2.3,-2.4,-3.2,virginica
10.9,3.3,2.3,-0.5,setosa
8.2,6.9,2.1,-0.2,virginica
-1.8,4.2,-1.4,-0.1,setosa
9.6,3.7,10.1,3.3,versicolor
5.7,1.5,5.1,0.3,versicolor
6.2,3.9,11.9,-2.5,virginica
4.0,-3.7,1.0,0.3,setosa
2.9,2.4,-0.3,-0.5,setosa
8.3,-1.2,8.1,-0.8,versicolor
6.5,8.2,4.6,1.5,setosa
2.9,1.7,3.2,2.8,versicolor
5.9,9.2,1.0,-1.3,setosa
4.2,-2.5,8.6,-3.5,versicolor
8.8,9.3,1.7,1.7,setosa
1.0,5.8,19.7,-2.6,virginica
8.7,2.7,7.9,0.9,versicolor
12.2,2.9,2.1,3.1,virginica
14.2,2.1,7.2,4.2,versicolor
12.6,1.9,-2.0,3.9,versicolor
5.2,6.9,8.6,0.7,versicolor
6.6,7.8,9.7,2.7,virginica
8.0,7.6,8.2,2.2,versicolor
4.1,10.7,-0.5,0.6,setosa
-2.6,5.7,9.0,0.0,virginica
8.5,5.4,5.0,1.3,setosa
9.4,1.4,0.7,5.6,versicolor
0.3,1.2,8.8,3.3,versicolor
9.3,-1.4,2.7,-0.6,setosa
3.0,1.9,3.0,0.1,setosa
7.8,0.8,1.6,-1.4,virginica
9.2,2.2,2.1,-0.5,versicolor
1.2,5.5,-5.4,2.1,virginica
7.7,4.1,4.2,-0.5,versicolor
9.4,-1.8,1.6,5.3,virginica
10.8,6.0,7.1,4.5,virginica
9.9,7.0,-0.5,0.7,setosa
2.9,2.6,2.9,0.1,virginica
3.3,4.9,0.2,0.4,setosa
-0.4,5.7,2.6,3.2,versicolor
-1.4,3.9,0.7,1.3,versicolor
13.5,1.3,2.9,1.1,setosa
4.9,9.2,1.4,6.1,virginica
4.6,1.6,-0.5,0.2,setosa
5.9,0.5,-0.7,0.7,setosa
5.0,8.5,-0.2,1.3,setosa
12.7,2.9,-5.7,4.6,virginica
6.7,4.9,8.3,1.1,versicolor
19.7,-3.4,4.1,4.2,virginica
14.2,7.2,1.6,-2.7,virginica
3.8,2.9,-0.1,0.2,setosa
-6.7,1.7,7.0,0.7,virginica
-5.4,-1.3,-4.7,3.9,virginica
11.3,2.9,10.2,2.1,virginica
1.3,-0.8,4.7,3.0,virginica
4.9,-1.4,2.5,1.0,setosa
11.6,3.9,3.9,0.1,setosa
4.0,5.1,0.5,1.0,versicolor
9.0,2.4,9.4,0.7,virginica
16.0,5.1,10.2,0.2,versicolor
2.0,-1.4,6.8,0.5,versicolor
9.8,4.3,5.3,-2.9,versicolor
-2.8,3.3,6.9,4.7,virginica
5.3,6.4,1.2,-0.9,setosa
10.9,-1.2,10.0,5.3,versicolor
13.8,4.4,-5.3,0.4,virginica
6.8,5.3,4.0,1.0,setosa
6.6,2.9,1.0,1.3,virginica
7.9,-1.5,2.9,0.2,setosa
2.1,-1.3,6.2,0.3,versicolor
1.3,4.2,2.0,1.4,versicolor
1.5,-1.4,-0.3,2.9,setosa
6.1,1.2,0.9,0.4,setosa
11.5,3.4,13.8,3.1,versicolor
8.6,7.8,9.5,-0.6,virginica
2.9,-2.0,-1.7,-0.0,setosa
-0.5,10.7,5.5,2.0,virginica
15.0,6.7,8.4,1.3,virginica
-1.0,2.5,2.7,1.1,versicolor
5.5,-5.4,4.3,3.0,versicolor
6.1,4.5,1.5,0.9,setosa
-3.7,4.3,1.2,0.1,setosa
10.1,1.1,2.8,1.2,setosa
6.1,10.2,4.0,1.4,versicolor
5.4,3.7,3.5,1.7,setosa
11.3,3.9,13.9,3.1,virginica
2.4,7.8,4.5,-2.1,setosa
1.8,4.1,-0.7,-0.0,setosa
5.7,12.3,14.7,5.7,virginica
12.0,4.6,-3.0,0.5,versicolor
15.6,4.6,9.6,-0.9,virginica
-2.9,0.2,3.5,4.8,virginica
7.1,5.3,1.0,-0.7,setosa
14.3,1.5,11.2,3.8,virginica
7.4,4.4,10.8,0.2,virginica
2.6,3.6,-0.0,1.4,versicolor
6.4,3.2,3.4,1.9,versicolor
5.6,1.5,0.6,-0.1,setosa
3.5,0.7,1.6,-1.5,setosa
3.6,-3.0,3.6,-1.2,setosa
7.5,5.0,6.1,0.6,versicolor
7.8,5.2,8.5,-0.6,versicolor
9.7,3.5,2.3,3.4,versicolor
-1.8,2.8,-0.6,-1.1,setosa
16.9,0.2,7.3,-1.2,versicolor
6.3,-0.4,-2.0,-0.6,setosa
7.5,1.6,1.7,0.2,setosa
6.2,6.5,14.0,5.2,versicolor
-4.5,2.6,14.0,-1.2,versicolor
6.6,-0.3,3.6,1.5,virginica
4.6,2.1,-1.3,-1.1,setosa
-5.0,4.7,-2.0,2.1,virginica
16.4,7.0,6.5,3.0,virginica
9.6,5.8,2.8,-2.6,virginica
15.5,2.9,2.6,3.3,versicolor
10.7,5.6,3.3,-0.8,versicolor
5.9,1.0,13.0,-0.2,virginica
19.1,-1.7,3.4,3.5,versicolor
